university,college_code,college_name,choice_code,course,intake,cap_seats,si_seats,ms_seats,all_india_seats,minority_seats,institute_seats,hu_open,hu_sc,hu_st,hu_vjdt,hu_ntb,hu_ntc,hu_ntd,hu_obc,hu_sebc,ohu_open,ohu_sc,ohu_st,ohu_vjdt,ohu_ntb,ohu_ntc,ohu_ntd,ohu_obc,ohu_sebc,pwd_total,ews_seats,tfws_choice_code,tfws_seats
Mumbai University,3167,"Mumbai Education Trust's Institute of Computer Science, Bandra (W), Mumbai",0316724110,Master in Computer Application,60,7,3,4,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0316724111,0
Mumbai University,3168,"Thakur Institute of Management Studies Career Development & Research, Kandivali (E), Mumbai",0316824110,Master in Computer Application,240,20,13,3,4,48,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0316824111,0
Mumbai University,3169,"Late Bhausaheb Hiray S. S. Trust's Institute of Computer Application, Bandra (E), Mumbai",0316924110,Master in Computer Application,120,19,15,4,0,24,0,2,0,2,0,1,0,0,1,1,5,0,1,1,0,0,0,0,1,0,11,0316924111,1
Mumbai University,3173,"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai",0317324110,Master in Computer Application,120,17,12,5,0,0,0,3,1,0,0,0,0,0,1,0,3,0,1,0,0,1,1,1,0,0,8,0317324111,0
Mumbai University,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",0317624210,Master of Computer Applications,120,5,2,1,2,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0317624211,0
Mumbai University,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",0318524210,Master of Computer Applications,120,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0318524211,0
Mumbai University,3200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",0320024110,Master in Computer Application,90,19,14,5,0,0,0,0,1,1,0,1,1,0,1,1,3,1,0,0,0,1,0,1,1,1,8,0320024111,0
Mumbai University,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",0321524110,Master in Computer Application,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0321524111,0
Mumbai University,3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",0321624210,Master of Computer Applications,60,48,40,8,0,0,0,5,4,3,1,0,1,0,6,3,6,2,1,1,0,1,0,3,2,1,6,0321624211,1
Mumbai University,3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",0321824110,Master in Computer Application,60,35,9,2,24,6,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0321824111,0
Mumbai University,3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",0322124110,Master in Computer Application,60,21,18,3,0,0,0,5,3,1,1,0,0,0,1,2,2,0,0,1,0,1,0,1,0,0,5,0322124111,0
Mumbai University,3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",0322324210,Master of Computer Applications,120,21,9,2,10,24,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0322324211,0
Mumbai University,3438,"Aditya Institute of Management Studies & Research, Borivali",0343824110,Master in Computer Application,60,16,2,0,14,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0343824111,1
Mumbai University,3539,"St. Wilfred's College of Computer Sciences, Mira Road(E)",0353924110,Master in Computer Application,180,123,103,20,0,0,0,19,10,6,2,1,3,1,17,7,14,6,2,1,1,0,0,6,5,1,18,,0
Mumbai University,3651,KANDIVLI EDUCATION SOCIETY'S B K SHROFF COLLEGE OF ARTS AND M H SHROFF COLLEGE OF COMMERCE,0365124110,Master in Computer Application,60,16,4,1,11,12,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0365124111,0
Punyashlok Ahilyadevi Holkar Solapur University,6031,"Punyashlok Ahilyadevi Holkar Solapur University, Solapur",0603124110,Master in Computer Application,60,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,1,0,0,0603124111,0
Punyashlok Ahilyadevi Holkar Solapur University,6220,"SVERI's College of Engineering, Pandharpur",0622024110,Master in Computer Application,60,4,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,5,0622024111,1
Punyashlok Ahilyadevi Holkar Solapur University,6467,"Swami Vivekanand Institute Of Technology, Solapur",0646724110,Master in Computer Application,60,38,30,8,0,0,0,0,3,3,1,1,2,0,6,3,2,2,1,1,0,0,0,3,2,0,5,0646724111,2
Punyashlok Ahilyadevi Holkar Solapur University,16145,KARMAVEER BHAURAO PATIL MAHAVIDYALAYA PANDHARPUR AUTONOMOUS,1614524270U,Master of Computer Applications,60,16,13,3,0,12,0,0,1,1,1,0,1,0,1,0,1,2,1,0,0,1,0,2,1,0,6,1614524271,0
Punyashlok Ahilyadevi Holkar Solapur University,16216,SANGOLA MAHAVIDYALAYA SANGOLA,1621624110,Master in Computer Application,60,20,11,9,0,0,0,0,2,0,1,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,3,1621624111,1
Punyashlok Ahilyadevi Holkar Solapur University,16229,DESHBHAKT HARINARAYAN BANKATLAL SONI COLLEGE SOLAPUR,1622924210,Master of Computer Applications,60,13,0,3,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622924211,1
Rashtrasant Tukadoji Maharaj Nagpur University,4003,"Inter Institutional Computer Center and Dept. of Computer Science & Electronics, RTM Nagpur University",0400324110,Master in Computer Application,30,9,5,4,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0400324111,1
