GOVERNMENT OF MAHARASHTRA,,,,,,,,,,,,,,,,,,,,,
,"STATE COMMON ENTRANCE TEST CELL, Maharashtara State, Mumbai",,,,,,,,,,,,,,,,,,,,
,Vacant seats after last date of reporting for Admission to First Year of Two Years Full Time Post-Graduate,,,,,,,,,,,,,,,,,,,,
Degree Courses in Master of Computer Applications for the Academic Year 2025-26,,,,,,,,,,,,,,,,,,,,,
,Published on : 08/09/2025,,,,,,,,,,,,,,,,,,,,
,IMPORTANT NOTE,,,,,,,,,,,,,,,,,,,,
,": All the Institutes are hereby informed to verify the details of the courses and Seat Matrix published below. For any discrepancy,They shall inform the",,,,,,,,,,,,,,,,,,,,
same to the State CET Cell immediately through message box..,,,,,,,,,,,,,,,,,,,,,
IMPORTANT : The vacancy position may vary. Candidates are advised to select the choice codes irrespective of the vacancy position.,,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats :12, ,TFWS Choice Code : 0225924111T, ,Seats: 0,,,,,,,,,,,,,,,,,
,"F:Only For Female, HU:Home University, OHU:Other than Home University, PWD:Persons with Disabilities,Common Reserved:Combined Common for All Reserved Categories",,,,,,,,,,,,,,,,,,,,
,"STATE CET CELL , Mumbai", ,Page 8 of 191,,,,,,,,,,,,,,,,,,
Vacant seats after last date of reporting for Admission to First Year of PostGraduate Degree Courses in Master of Computer Applications for the Academic Year 2025-26,,,,,,,,,,,,,,,,,,,,,
,"2569 - Suraj Institute of Management, Beed",,,,,,,,,,,,,,,,,,,,
,Un-Aided, ,CAP Seats: 28,,,,,,,,,,,,,,,,,,
Choice Code, ,Course Name, ,SI, ,MS Seats, ,All India, ,Minority Seats, ,Institute Seats,,,,,,,,,
0256924110, ,300, ,25, ,3, ,0, ,0,,,,,,,,,,,
Master in Computer Application, ,,,,,,,,,,,,,,,,,,,,
Category, ,OPEN, ,SC, ,ST, ,VJDT, ,NTB, ,NTC, ,NTD, ,OBC, ,SEBC, ,Total,
HU, ,1, ,0, ,0, ,1, ,0, ,0, ,1, ,3, ,0, ,6,
,OHU, ,0, ,0, ,0, ,1, ,0, ,0, ,1, ,9, ,7, ,18
,PWD, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1
,PWD Common Reserved Seats :0,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats :14, ,TFWS Choice Code : 0256924111T, ,Seats: 0,,,,,,,,,,,,,,,,,
,"F:Only For Female, HU:Home University, OHU:Other than Home University, PWD:Persons with Disabilities,Common Reserved:Combined Common for All Reserved Categories",,,,,,,,,,,,,,,,,,,,
,"STATE CET CELL , Mumbai", ,Page 9 of 191,,,,,,,,,,,,,,,,,,
Vacant seats after last date of reporting for Admission to First Year of PostGraduate Degree Courses in Master of Computer Applications for the Academic Year 2025-26,,,,,,,,,,,,,,,,,,,,,
,"2622 - Jay Bhavani Institute of Management, Badnapur, Jalna",,,,,,,,,,,,,,,,,,,,
,Un-Aided, ,CAP Seats: 3,,,,,,,,,,,,,,,,,,
Choice Code, ,Course Name, ,SI, ,MS Seats, ,All India, ,Minority Seats, ,Institute Seats,,,,,,,,,
0262224110, ,60, ,3, ,0, ,0, ,0,,,,,,,,,,,
Master in Computer Application, ,,,,,,,,,,,,,,,,,,,,
Category, ,OPEN, ,SC, ,ST, ,VJDT, ,NTB, ,NTC, ,NTD, ,OBC, ,SEBC, ,Total,
