GOVERNMENT OF MAHARASHTRA,,,,,,,,,,,,,
"State Common Entrance Test Cell, Mumbai.",,,,,,,,,,,,,
41, ,6980 (80.5399495), ,0614424110, ,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
42, ,7067 (80.5399495), ,0538124110, ,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.", ,Master in Computer Application, ,AI-AI, ,AI,
43, ,7174 (80.5399495), ,0500224110, ,"Department of Computer Science, North Maharashtra University, Jalgaon", ,Master in Computer Application, ,AI-AI, ,AI,
44, ,7363 (79.9969812), ,0312924210, ,"Mumbai Institute of Management & Research, Mumbai", ,Master of Computer Applications, ,AI-AI, ,AI,
45, ,7979 (77.8251197), ,0683624110, ,"Dr.D.Y.Patil Institute Of Management & Entrepreneur Development,Talegaon", ,Master in Computer Application, ,AI-AI, ,AI,
46, ,8056 (77.8251197), ,0654724110, ,"Suryadatta Educational Foundation, Suryadatta Institute of Management and Mass Communication, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
47, ,8074 (77.8251197), ,0616824110, ,"Shikshan Maharshi Dr. D.Y. Patil Centre for Management & Research, Chikhali , Pune", ,Master in Computer Application, ,AI-AI, ,AI,
,Cut Off Indicates All India Merit No. ; Figures in bracket Indicates B.HMCT CET Score,,,,,,,,,,,,
AI to AI-All India Seats Allotted to All India Candidature Candidates, ,,,,,,,,,,,,
Page 2/7,,,,,,,,,,,,,
GOVERNMENT OF MAHARASHTRA,,,,,,,,,,,,,
"State Common Entrance Test Cell, Mumbai.",,,,,,,,,,,,,
,Cut Off List for All India Seats of CAP Round-III for Admission to the First Year Post Graduate Technical Course in Master of Computer Applications (MCA) for the Academic Year 2025-26.,,,,,,,,,,,,
,48, ,8193 (76.9216256), ,0212424110, ,"Maratha Education Society's Institute of Management studies & Information Technology, Aurangabad", ,Master in Computer Application, ,AI-AI, ,AI
49, ,8464 (76.9216256), ,0251924110, ,"Shri V. D. Deshmukh College of MCA, Kolpa Dist. Latur", ,Master in Computer Application, ,AI-AI, ,AI,
50, ,8475 (76.9216256), ,0613824110, ,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
51, ,8598 (76.9216256), ,0677524110, ,"Yashaswi Education Society's International Institute of Management Science, Chinchwad, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
52, ,8743 (74.782248), ,0266424110, ,"Deogiri College, Chh. Sambhaji Nagar", ,Master in Computer Application, ,AI-AI, ,AI,
53, ,8749 (74.782248), ,0699124110, ,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
54, ,8938 (74.782248), ,0615224110, ,"Zeal Education Society's Zeal Institute of Business Administration, Computer Application and Research, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
55, ,9061 (74.782248), ,0620624110, ,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune", ,Master in Computer Application, ,AI-AI, ,AI,
56, ,9067 (74.782248), ,0621424110, ,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli", ,Master in Computer Application, ,AI-AI, ,AI,
57, ,9371 (73.5368477), ,0518124110, ,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik", ,Master in Computer Application, ,AI-AI, ,AI,
58, ,9386 (73.5368477), ,0100524110, ,"Sant Gadge Baba Amravati University,Amravati", ,Master in Computer Application, ,AI-AI, ,AI,
"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station,",Master in Computer Application,,,,,,,,,,,,
59, ,9477 (73.5368477), ,0631024110,AI-AI, ,AI,,,,,,
Pune,,,,,,,,,,,,,
